Zona Operativa,Coordenadas del Poligono
PAV386,"-58.4814360205,-34.6344130424,0 -58.4819333404,-34.6340105536,0 -58.4821017072,-34.6339754943,0 -58.4822697876,-34.6338741458,0 -58.4831873967,-34.6341031663,0 -58.4831204836,-34.6342728230,0 -58.4830260374,-34.6343223096,0 -58.4826836852,-34.6352164650,0 -58.4827949884,-34.6352988567,0 -58.4826935387,-34.6355892312,0 -58.4825692706,-34.6355644201,0 -58.4824078166,-34.6360037411,0 -58.4812654059,-34.6357237217,0 -58.4811849452,-34.6359533168,0 -58.4810879956,-34.6362367848,0 -58.4809429877,-34.6361863339,0 -58.4808464716,-34.6361532332,0 -58.4807779950,-34.6363099610,0 -58.4799767072,-34.6359726816,0 -58.4802025188,-34.6357878006,0 -58.4799555388,-34.6355655237,0 -58.4798575165,-34.6356440489,0 -58.4796049712,-34.6355462893,0 -58.4794681990,-34.6355928866,0 -58.4792370670,-34.6355838257,0 -58.4791709634,-34.6354966122,0 -58.4795045397,-34.6348096146,0 -58.4796343826,-34.6347387186,0 -58.4796746138,-34.6346552542,0 -58.4798869652,-34.6347037597,0 -58.4799229249,-34.6346256798,0 -58.4800652772,-34.6345655005,0 -58.4809689454,-34.6347910480,0 -58.4814360205,-34.6344130424,0"
PAV387A,"-58.5123992120,-34.6613598360,0 -58.5137631284,-34.6603203036,0 -58.5138696831,-34.6603090040,0 -58.5140066815,-34.6601870458,0 -58.5157208940,-34.6611427195,0 -58.5173742170,-34.6619088483,0 -58.5172768940,-34.6620171610,0 -58.5177603921,-34.6623226226,0 -58.5140467764,-34.6651153939,0 -58.5135784011,-34.6647888732,0 -58.5137941152,-34.6646273707,0 -58.5137931093,-34.6645430243,0 -58.5132681644,-34.6641172593,0 -58.5131820827,-34.6641146807,0 -58.5130125523,-34.6639726822,0 -58.5130100683,-34.6639008326,0 -58.5140091680,-34.6631589162,0 -58.5134258052,-34.6626677381,0 -58.5134261534,-34.6626065380,0 -58.5132560405,-34.6624651628,0 -58.5131600090,-34.6624556127,0 -58.5123523454,-34.6617676169,0 -58.5123541667,-34.6617147918,0 -58.5122014377,-34.6615875689,0 -58.5124092104,-34.6614283090,0 -58.5123992120,-34.6613598360,0"
PAV387B,"-58.5107613624,-34.6603865556,0 -58.5106184095,-34.6602672675,0 -58.5105300697,-34.6602603547,0 -58.5099654430,-34.6597922505,0 -58.5099680037,-34.6597245852,0 -58.5097810975,-34.6595686653,0 -58.5096683909,-34.6595635316,0 -58.5091259250,-34.6591038578,0 -58.5091292251,-34.6590249729,0 -58.5089870010,-34.6589063641,0 -58.5088837808,-34.6589053116,0 -58.5083503784,-34.6584591958,0 -58.5083590719,-34.6583826292,0 -58.5082721084,-34.6583040404,0 -58.5085955209,-34.6578567473,0 -58.5087126807,-34.6577328876,0 -58.5091652398,-34.6573063123,0 -58.5092777805,-34.6573007997,0 -58.5093630048,-34.6572157006,0 -58.5130512130,-34.6596320583,0 -58.5140066815,-34.6601870458,0 -58.5138696831,-34.6603090040,0 -58.5137631284,-34.6603203036,0 -58.5123992120,-34.6613598360,0 -58.5124092104,-34.6614283090,0 -58.5122014377,-34.6615875689,0 -58.5121043265,-34.6615866765,0 -58.5115631361,-34.6611378845,0 -58.5115534461,-34.6610473914,0 -58.5114040177,-34.6609227532,0 -58.5113137282,-34.6609152710,0 -58.5107594017,-34.6604531557,0 -58.5107613624,-34.6603865556,0"
PAV387C,"-58.5070546984,-34.6608428108,0 -58.5069184632,-34.6608378776,0 -58.5067744606,-34.6607198547,0 -58.5067810478,-34.6606243528,0 -58.5066133716,-34.6604833056,0 -58.5064966622,-34.6604925573,0 -58.5063222054,-34.6603499783,0 -58.5062966996,-34.6602591404,0 -58.5072223022,-34.6592961495,0 -58.5078490473,-34.6586153101,0 -58.5081745915,-34.6583180254,0 -58.5082721084,-34.6583040404,0 -58.5083590719,-34.6583826292,0 -58.5083503784,-34.6584591958,0 -58.5088837808,-34.6589053116,0 -58.5089870010,-34.6589063641,0 -58.5091292251,-34.6590249729,0 -58.5091259250,-34.6591038578,0 -58.5096683909,-34.6595635316,0 -58.5097810975,-34.6595686653,0 -58.5099680037,-34.6597245852,0 -58.5099654430,-34.6597922505,0 -58.5105300697,-34.6602603547,0 -58.5106184095,-34.6602672675,0 -58.5107613624,-34.6603865556,0 -58.5107594017,-34.6604531557,0 -58.5113137282,-34.6609152710,0 -58.5114040177,-34.6609227532,0 -58.5115534461,-34.6610473914,0 -58.5115631361,-34.6611378845,0 -58.5121043265,-34.6615866765,0 -58.5111498050,-34.6623231896,0 -58.5106140748,-34.6618934762,0 -58.5105355033,-34.6618948875,0 -58.5103318773,-34.6620647025,0 -58.5101833464,-34.6619397791,0 -58.5100584618,-34.6619341589,0 -58.5091485027,-34.6626660188,0 -58.5086857749,-34.6622462402,0 -58.5085609268,-34.6622483648,0 -58.5084473457,-34.6621052853,0 -58.5084425508,-34.6619887135,0 -58.5079046237,-34.6615344762,0 -58.5077636825,-34.6615352088,0 -58.5075765569,-34.6613800408,0 -58.5075674911,-34.6612633076,0 -58.5070546984,-34.6608428108,0"
PAV387D,"-58.5103318773,-34.6620647025,0 -58.5105355033,-34.6618948875,0 -58.5106140748,-34.6618934762,0 -58.5111498050,-34.6623231896,0 -58.5121043265,-34.6615866765,0 -58.5122014377,-34.6615875689,0 -58.5123541667,-34.6617147918,0 -58.5123523454,-34.6617676169,0 -58.5131600090,-34.6624556127,0 -58.5132560405,-34.6624651628,0 -58.5134261534,-34.6626065380,0 -58.5134258052,-34.6626677381,0 -58.5140091680,-34.6631589162,0 -58.5130100683,-34.6639008326,0 -58.5130125523,-34.6639726822,0 -58.5131820827,-34.6641146807,0 -58.5132681644,-34.6641172593,0 -58.5137931093,-34.6645430243,0 -58.5137941152,-34.6646273707,0 -58.5135784011,-34.6647888732,0 -58.5140467764,-34.6651153939,0 -58.5128213816,-34.6660357351,0 -58.5123962333,-34.6656737709,0 -58.5124011963,-34.6655548730,0 -58.5119423017,-34.6651499557,0 -58.5118001437,-34.6651434161,0 -58.5116363599,-34.6649975984,0 -58.5116428430,-34.6648919605,0 -58.5111168789,-34.6644184344,0 -58.5109829992,-34.6644154560,0 -58.5108196745,-34.6642698097,0 -58.5108184710,-34.6641467500,0 -58.5101279008,-34.6635308410,0 -58.5099909464,-34.6635298150,0 -58.5098443534,-34.6633987174,0 -58.5098408039,-34.6632819328,0 -58.5094344296,-34.6629180140,0 -58.5093089756,-34.6629193199,0 -58.5091655630,-34.6627907480,0 -58.5091485027,-34.6626660188,0 -58.5100584618,-34.6619341589,0 -58.5101833464,-34.6619397791,0 -58.5103318773,-34.6620647025,0"
PAV388A,"-58.4866212944,-34.6347304344,0 -58.4868362393,-34.6342109425,0 -58.4869372728,-34.6341707831,0 -58.4869861608,-34.6340455757,0 -58.4883953281,-34.6343682831,0 -58.4884135622,-34.6344192816,0 -58.4885528929,-34.6344363718,0 -58.4886744798,-34.6344512860,0 -58.4888038744,-34.6344109592,0 -58.4895769466,-34.6345380855,0 -58.4896458574,-34.6346389085,0 -58.4898528530,-34.6346788790,0 -58.4898096649,-34.6348111011,0 -58.4898830912,-34.6348823579,0 -58.4897125936,-34.6354711489,0 -58.4895776439,-34.6355215189,0 -58.4894232804,-34.6356227561,0 -58.4876491576,-34.6351874070,0 -58.4875960567,-34.6353463395,0 -58.4874314003,-34.6353074024,0 -58.4872949058,-34.6352674957,0 -58.4871057904,-34.6353009113,0 -58.4861254950,-34.6360310936,0 -58.4859434055,-34.6359905373,0 -58.4845093736,-34.6356413179,0 -58.4848385401,-34.6347821571,0 -58.4852908649,-34.6348799181,0 -58.4853710510,-34.6346591219,0 -58.4866142662,-34.6349636971,0 -58.4866710646,-34.6348133285,0 -58.4866212944,-34.6347304344,0"
Zona no identificada,"-58.4843085098,-34.6343829670,0 -58.4843686295,-34.6342516352,0 -58.4844942181,-34.6342099813,0 -58.4847201443,-34.6337235470,0 -58.4846728123,-34.6336138762,0 -58.4847113211,-34.6335245838,0 -58.4856771229,-34.6337427774,0 -58.4857037766,-34.6338147861,0 -58.4859371523,-34.6338656516,0 -58.4860234249,-34.6338250924,0 -58.4869861608,-34.6340455757,0 -58.4869372728,-34.6341707831,0 -58.4868362393,-34.6342109425,0 -58.4866212944,-34.6347304344,0 -58.4866710646,-34.6348133285,0 -58.4866142662,-34.6349636971,0 -58.4853710510,-34.6346591219,0 -58.4852908649,-34.6348799181,0 -58.4848385401,-34.6347821571,0 -58.4845093736,-34.6356413179,0 -58.4859434055,-34.6359905373,0 -58.4858575474,-34.6362575500,0 -58.4843732689,-34.6359344319,0 -58.4843304281,-34.6358545415,0 -58.4841162015,-34.6358026410,0 -58.4841872725,-34.6356249048,0 -58.4841324462,-34.6354593956,0 -58.4844348244,-34.6346870671,0 -58.4845903056,-34.6346228108,0 -58.4846561162,-34.6344709769,0 -58.4843085098,-34.6343829670,0"
PAV388C,"-58.4874314003,-34.6353074024,0 -58.4875960567,-34.6353463395,0 -58.4871887182,-34.6365449997,0 -58.4870349384,-34.6365040833,0 -58.4869530642,-34.6365368589,0 -58.4866190338,-34.6375378054,0 -58.4866725397,-34.6375990195,0 -58.4865981164,-34.6378240025,0 -58.4864867397,-34.6378569867,0 -58.4856181980,-34.6376471680,0 -58.4853107541,-34.6386674910,0 -58.4852433032,-34.6386941137,0 -58.4850573567,-34.6385711704,0 -58.4850155668,-34.6384842387,0 -58.4842061567,-34.6379375316,0 -58.4840904579,-34.6379318309,0 -58.4839227503,-34.6377842064,0 -58.4835083325,-34.6381086811,0 -58.4834768619,-34.6380912196,0 -58.4833910811,-34.6381606929,0 -58.4832179393,-34.6380813301,0 -58.4831503456,-34.6379326011,0 -58.4839909878,-34.6359043868,0 -58.4841162015,-34.6358026410,0 -58.4843304281,-34.6358545415,0 -58.4843732689,-34.6359344319,0 -58.4858575474,-34.6362575500,0 -58.4859434055,-34.6359905373,0 -58.4861254950,-34.6360310936,0 -58.4871057904,-34.6353009113,0 -58.4872949058,-34.6352674957,0 -58.4874314003,-34.6353074024,0"
PAV388D,"-58.4864867397,-34.6378569867,0 -58.4865981164,-34.6378240025,0 -58.4866725397,-34.6375990195,0 -58.4868302799,-34.6376382486,0 -58.4859176048,-34.6403696332,0 -58.4826426763,-34.6388337930,0 -58.4827722790,-34.6387363585,0 -58.4827601144,-34.6386467283,0 -58.4831533113,-34.6383395942,0 -58.4833038055,-34.6383281790,0 -58.4832179393,-34.6380813301,0 -58.4833910811,-34.6381606929,0 -58.4834768619,-34.6380912196,0 -58.4835083325,-34.6381086811,0 -58.4839227503,-34.6377842064,0 -58.4840904579,-34.6379318309,0 -58.4842061567,-34.6379375316,0 -58.4850155668,-34.6384842387,0 -58.4850573567,-34.6385711704,0 -58.4852433032,-34.6386941137,0 -58.4853107541,-34.6386674910,0 -58.4856181980,-34.6376471680,0 -58.4864867397,-34.6378569867,0"
PAV389,"-58.4917798387,-34.6416058697,0 -58.4917281985,-34.6415239081,0 -58.4914428892,-34.6414735312,0 -58.4925886855,-34.6403718320,0 -58.4930170107,-34.6404273124,0 -58.4930863853,-34.6405086544,0 -58.4941606297,-34.6406519675,0 -58.4940703895,-34.6410680397,0 -58.4943825106,-34.6411073056,0 -58.4944101992,-34.6409694312,0 -58.4944961767,-34.6409319423,0 -58.4956325844,-34.6410964395,0 -58.4956872141,-34.6411461022,0 -58.4958980552,-34.6411751743,0 -58.4960034438,-34.6411351631,0 -58.4969861295,-34.6412650198,0 -58.4970290136,-34.6410756790,0 -58.4971497010,-34.6410086543,0 -58.4973972337,-34.6410432406,0 -58.4974693715,-34.6411268567,0 -58.4985607200,-34.6412715037,0 -58.4984035079,-34.6421586900,0 -58.4984506540,-34.6422363158,0 -58.4985003261,-34.6422721910,0 -58.4982806559,-34.6424453934,0 -58.4981481862,-34.6424643787,0 -58.4971800513,-34.6432204417,0 -58.4970275803,-34.6432090155,0 -58.4968794894,-34.6433034305,0 -58.4966475287,-34.6432618038,0 -58.4965357530,-34.6431537106,0 -58.4956507049,-34.6430125795,0 -58.4955262224,-34.6430847421,0 -58.4954701800,-34.6431116464,0 -58.4953438103,-34.6430944823,0 -58.4953155143,-34.6430553582,0 -58.4952622237,-34.6429845252,0 -58.4941324864,-34.6428227864,0 -58.4942553309,-34.6422038755,0 -58.4938572199,-34.6421409113,0 -58.4937145573,-34.6427533370,0 -58.4926414740,-34.6426094455,0 -58.4926780844,-34.6424171177,0 -58.4922894426,-34.6423690579,0 -58.4924233727,-34.6417016931,0 -58.4917798387,-34.6416058697,0"
PAV390A,"-58.4994638036,-34.6373528300,0 -58.5007170829,-34.6375230708,0 -58.5006908761,-34.6376653058,0 -58.5005678867,-34.6377645039,0 -58.5004179293,-34.6386346315,0 -58.5005066996,-34.6387335233,0 -58.5004730749,-34.6389285442,0 -58.5003842064,-34.6389887080,0 -58.5002241932,-34.6398746271,0 -58.4992941687,-34.6397486247,0 -58.4991876676,-34.6398048057,0 -58.4989560023,-34.6397738831,0 -58.4988684267,-34.6396888628,0 -58.4978088344,-34.6395423107,0 -58.4979989569,-34.6386874038,0 -58.4979160115,-34.6385890831,0 -58.4979538483,-34.6384104461,0 -58.4978160342,-34.6384009906,0 -58.4980359976,-34.6373259375,0 -58.4981801971,-34.6373437373,0 -58.4982123950,-34.6371688956,0 -58.4994638036,-34.6373528300,0"
PAV390B,"-58.4962131054,-34.6360707188,0 -58.4964955772,-34.6359413576,0 -58.4965205105,-34.6358480453,0 -58.4966309600,-34.6357855311,0 -58.4967119037,-34.6354178781,0 -58.4996530943,-34.6358164184,0 -58.4997174811,-34.6360320848,0 -58.4996068647,-34.6360830872,0 -58.4995605544,-34.6362924658,0 -58.4996244599,-34.6363776883,0 -58.4996303532,-34.6365169840,0 -58.4995222203,-34.6365929871,0 -58.4994102419,-34.6371287584,0 -58.4994886097,-34.6372306514,0 -58.4994638036,-34.6373528300,0 -58.4982123950,-34.6371688956,0 -58.4981801971,-34.6373437373,0 -58.4980359976,-34.6373259375,0 -58.4979141559,-34.6373095205,0 -58.4978271599,-34.6373547418,0 -58.4967354820,-34.6372210989,0 -58.4966787291,-34.6371505150,0 -58.4964674003,-34.6371233330,0 -58.4963610860,-34.6371728729,0 -58.4957068618,-34.6371003796,0 -58.4956782566,-34.6370220098,0 -58.4952492462,-34.6369948168,0 -58.4953434211,-34.6366217093,0 -58.4953592947,-34.6365349319,0 -58.4959812236,-34.6360871562,0 -58.4962131054,-34.6360707188,0"
PAV390C,"-58.4956782566,-34.6370220098,0 -58.4957068618,-34.6371003796,0 -58.4963610860,-34.6371728729,0 -58.4964674003,-34.6371233330,0 -58.4966787291,-34.6371505150,0 -58.4967354820,-34.6372210989,0 -58.4978271599,-34.6373547418,0 -58.4979141559,-34.6373095205,0 -58.4980359976,-34.6373259375,0 -58.4978160342,-34.6384009906,0 -58.4976928329,-34.6383772749,0 -58.4976193588,-34.6383082520,0 -58.4965762558,-34.6381703137,0 -58.4964699434,-34.6382217321,0 -58.4962585400,-34.6381948516,0 -58.4961722194,-34.6381034446,0 -58.4951608532,-34.6379720994,0 -58.4949991665,-34.6380351389,0 -58.4945507801,-34.6379730843,0 -58.4952492462,-34.6369948168,0 -58.4956782566,-34.6370220098,0"
PAV390D,"-58.4949991665,-34.6380351389,0 -58.4951608532,-34.6379720994,0 -58.4961722194,-34.6381034446,0 -58.4962585400,-34.6381948516,0 -58.4964699434,-34.6382217321,0 -58.4965762558,-34.6381703137,0 -58.4976193588,-34.6383082520,0 -58.4976928329,-34.6383772749,0 -58.4978160342,-34.6384009906,0 -58.4979538483,-34.6384104461,0 -58.4979160115,-34.6385890831,0 -58.4979989569,-34.6386874038,0 -58.4978088344,-34.6395423107,0 -58.4977009206,-34.6396060334,0 -58.4974460720,-34.6395718858,0 -58.4973683495,-34.6394821223,0 -58.4963493458,-34.6393498273,0 -58.4962395518,-34.6394100040,0 -58.4960284664,-34.6393816623,0 -58.4959156477,-34.6392826726,0 -58.4948647725,-34.6391482199,0 -58.4947625746,-34.6392118248,0 -58.4945580261,-34.6391844275,0 -58.4944890891,-34.6390985886,0 -58.4941406823,-34.6390545126,0 -58.4940248568,-34.6391131058,0 -58.4937677727,-34.6390697249,0 -58.4945507801,-34.6379730843,0 -58.4949991665,-34.6380351389,0"
PAV391A,"-58.5023523880,-34.6377652368,0 -58.5023967099,-34.6375556074,0 -58.5022234641,-34.6375347328,0 -58.5023324605,-34.6370487888,0 -58.5022648340,-34.6369091143,0 -58.5023060816,-34.6367363492,0 -58.5024382743,-34.6366673720,0 -58.5025527479,-34.6361918594,0 -58.5075463925,-34.6367983557,0 -58.5074024141,-34.6373919456,0 -58.5074823674,-34.6374785845,0 -58.5074392895,-34.6376398318,0 -58.5072983651,-34.6377116225,0 -58.5071342289,-34.6383352271,0 -58.5072261496,-34.6384503162,0 -58.5071979563,-34.6385593587,0 -58.5061096140,-34.6383806929,0 -58.5060674074,-34.6383976065,0 -58.5056756528,-34.6383331752,0 -58.5056560564,-34.6382939536,0 -58.5040513910,-34.6380126475,0 -58.5023523880,-34.6377652368,0"
PAV391B,"-58.4996244599,-34.6363776883,0 -58.4995605544,-34.6362924658,0 -58.4996068647,-34.6360830872,0 -58.4997174811,-34.6360320848,0 -58.4996530943,-34.6358164184,0 -58.5013091829,-34.6360407912,0 -58.5025527479,-34.6361918594,0 -58.5024382743,-34.6366673720,0 -58.5023060816,-34.6367363492,0 -58.5022648340,-34.6369091143,0 -58.5023324605,-34.6370487888,0 -58.5022234641,-34.6375347328,0 -58.5023967099,-34.6375556074,0 -58.5023523880,-34.6377652368,0 -58.5007170829,-34.6375230708,0 -58.4994638036,-34.6373528300,0 -58.4994886097,-34.6372306514,0 -58.4994102419,-34.6371287584,0 -58.4995222203,-34.6365929871,0 -58.4996303532,-34.6365169840,0 -58.4996244599,-34.6363776883,0"
PAV391C,"-58.5005678867,-34.6377645039,0 -58.5006908761,-34.6376653058,0 -58.5007170829,-34.6375230708,0 -58.5023523880,-34.6377652368,0 -58.5040513910,-34.6380126475,0 -58.5038931355,-34.6381213156,0 -58.5039086835,-34.6382161222,0 -58.5037188932,-34.6383674459,0 -58.5034803848,-34.6382407443,0 -58.5036323305,-34.6381103342,0 -58.5035289474,-34.6380772459,0 -58.5033683167,-34.6381169228,0 -58.5026687020,-34.6386675016,0 -58.5023198823,-34.6389149604,0 -58.5018908958,-34.6388585267,0 -58.5017871351,-34.6389188069,0 -58.5015845633,-34.6388903055,0 -58.5015116352,-34.6388039969,0 -58.5008429739,-34.6387109196,0 -58.5007463424,-34.6387724222,0 -58.5005066996,-34.6387335233,0 -58.5004179293,-34.6386346315,0 -58.5005678867,-34.6377645039,0"
PAV391D,"-58.5033683167,-34.6381169228,0 -58.5035289474,-34.6380772459,0 -58.5036323305,-34.6381103342,0 -58.5034803848,-34.6382407443,0 -58.5037188932,-34.6383674459,0 -58.5039086835,-34.6382161222,0 -58.5038931355,-34.6381213156,0 -58.5040513910,-34.6380126475,0 -58.5056560564,-34.6382939536,0 -58.5056756528,-34.6383331752,0 -58.5060674074,-34.6383976065,0 -58.5061096140,-34.6383806929,0 -58.5071979563,-34.6385593587,0 -58.5071677053,-34.6386763581,0 -58.5070568267,-34.6387323015,0 -58.5069040006,-34.6393276227,0 -58.5069767157,-34.6394254832,0 -58.5069249939,-34.6395040809,0 -58.5068545544,-34.6395112960,0 -58.5061475511,-34.6393839099,0 -58.5054904950,-34.6392806078,0 -58.5054572487,-34.6392473839,0 -58.5034247769,-34.6388581972,0 -58.5033994664,-34.6389337845,0 -58.5032046047,-34.6388909195,0 -58.5031941837,-34.6389256278,0 -58.5028611938,-34.6388249419,0 -58.5026687020,-34.6386675016,0 -58.5033683167,-34.6381169228,0"
PAV392A,"-58.5074024141,-34.6373919456,0 -58.5075463925,-34.6367983557,0 -58.5098806776,-34.6371433241,0 -58.5105504377,-34.6372392099,0 -58.5104778237,-34.6374864022,0 -58.5106078845,-34.6375905097,0 -58.5105038942,-34.6379189799,0 -58.5103331486,-34.6379847873,0 -58.5102867973,-34.6381443580,0 -58.5103822845,-34.6382432500,0 -58.5112840315,-34.6384072533,0 -58.5110825124,-34.6389991023,0 -58.5111680114,-34.6391265295,0 -58.5111251799,-34.6392548773,0 -58.5104972160,-34.6391479600,0 -58.5087859729,-34.6388630704,0 -58.5071979563,-34.6385593587,0 -58.5072261496,-34.6384503162,0 -58.5071342289,-34.6383352271,0 -58.5072983651,-34.6377116225,0 -58.5074392895,-34.6376398318,0 -58.5074823674,-34.6374785845,0 -58.5074024141,-34.6373919456,0"
PAV392B,"-58.5069249939,-34.6395040809,0 -58.5069767157,-34.6394254832,0 -58.5069040006,-34.6393276227,0 -58.5070568267,-34.6387323015,0 -58.5071677053,-34.6386763581,0 -58.5071979563,-34.6385593587,0 -58.5087859729,-34.6388630704,0 -58.5104972160,-34.6391479600,0 -58.5111251799,-34.6392548773,0 -58.5110825879,-34.6393825096,0 -58.5109632094,-34.6394412406,0 -58.5107504664,-34.6400282271,0 -58.5108272695,-34.6401489694,0 -58.5107968872,-34.6403781031,0 -58.5106552038,-34.6404188683,0 -58.5098009153,-34.6402593276,0 -58.5097624575,-34.6401839744,0 -58.5095206553,-34.6401385700,0 -58.5093290095,-34.6401692770,0 -58.5088148160,-34.6400721999,0 -58.5086587858,-34.6399766753,0 -58.5082095492,-34.6398628531,0 -58.5082361163,-34.6397746634,0 -58.5069249939,-34.6395040809,0"
PAV392C,"-58.5109632094,-34.6394412406,0 -58.5110825879,-34.6393825096,0 -58.5111680114,-34.6391265295,0 -58.5114508287,-34.6391468598,0 -58.5115370719,-34.6392561214,0 -58.5129822670,-34.6392441454,0 -58.5158118657,-34.6391739029,0 -58.5156936241,-34.6393088092,0 -58.5155355734,-34.6393637868,0 -58.5143233967,-34.6403013012,0 -58.5143275606,-34.6404209336,0 -58.5142059689,-34.6405913585,0 -58.5140565099,-34.6406467994,0 -58.5137348806,-34.6406325194,0 -58.5135522490,-34.6405587079,0 -58.5131880310,-34.6405405102,0 -58.5131265118,-34.6405997713,0 -58.5127338822,-34.6405862425,0 -58.5126728392,-34.6405147537,0 -58.5122983365,-34.6404960160,0 -58.5121582540,-34.6405597638,0 -58.5114219053,-34.6405202240,0 -58.5112672420,-34.6404443494,0 -58.5107968872,-34.6403781031,0 -58.5108272695,-34.6401489694,0 -58.5107504664,-34.6400282271,0 -58.5109632094,-34.6394412406,0"
PAV392D,"-58.5106078845,-34.6375905097,0 -58.5104778237,-34.6374864022,0 -58.5105504377,-34.6372392099,0 -58.5147439397,-34.6378394785,0 -58.5169548456,-34.6380470927,0 -58.5166001159,-34.6383933861,0 -58.5166232550,-34.6384668473,0 -58.5164139016,-34.6386368765,0 -58.5162307097,-34.6386780048,0 -58.5159421104,-34.6389072225,0 -58.5159572592,-34.6390080185,0 -58.5158118657,-34.6391739029,0 -58.5129822670,-34.6392441454,0 -58.5115370719,-34.6392561214,0 -58.5114508287,-34.6391468598,0 -58.5111680114,-34.6391265295,0 -58.5110825124,-34.6389991023,0 -58.5112840315,-34.6384072533,0 -58.5103822845,-34.6382432500,0 -58.5102867973,-34.6381443580,0 -58.5103331486,-34.6379847873,0 -58.5105038942,-34.6379189799,0 -58.5106078845,-34.6375905097,0"
PAV393A,"-58.5064186338,-34.6415987336,0 -58.5072749306,-34.6409700989,0 -58.5077210029,-34.6413511678,0 -58.5079006491,-34.6413680084,0 -58.5080300896,-34.6414990381,0 -58.5080270939,-34.6416662632,0 -58.5084592404,-34.6420194902,0 -58.5086407713,-34.6420329385,0 -58.5087998853,-34.6421760755,0 -58.5087968862,-34.6423435746,0 -58.5092082900,-34.6426972943,0 -58.5094067029,-34.6427229049,0 -58.5095869653,-34.6428856392,0 -58.5095713716,-34.6429950543,0 -58.5100183778,-34.6434576847,0 -58.5091924332,-34.6440752744,0 -58.5091831372,-34.6442321320,0 -58.5089896535,-34.6443841424,0 -58.5088390213,-34.6443950161,0 -58.5080267178,-34.6450363836,0 -58.5080270451,-34.6451406485,0 -58.5078270600,-34.6452968767,0 -58.5076561584,-34.6452973303,0 -58.5068199107,-34.6459316454,0 -58.5068151318,-34.6460759008,0 -58.5065988102,-34.6462405155,0 -58.5064641950,-34.6462334325,0 -58.5059875277,-34.6457789362,0 -58.5059874679,-34.6456781403,0 -58.5060274810,-34.6453495433,0 -58.5060255563,-34.6452328125,0 -58.5068906014,-34.6445559668,0 -58.5064318865,-34.6441323155,0 -58.5064400233,-34.6440363086,0 -58.5066386393,-34.6438811610,0 -58.5064747367,-34.6437381671,0 -58.5064781455,-34.6435480941,0 -58.5060413976,-34.6431784583,0 -58.5067819640,-34.6426000301,0 -58.5068031316,-34.6424383220,0 -58.5066621975,-34.6423148747,0 -58.5068580644,-34.6421646258,0 -58.5068614639,-34.6419750123,0 -58.5064186338,-34.6415987336,0"
PAV393B,"-58.5079522792,-34.6399057963,0 -58.5082095503,-34.6398628531,0 -58.5086587858,-34.6399766753,0 -58.5088148160,-34.6400721999,0 -58.5093290095,-34.6401692770,0 -58.5095206553,-34.6401385700,0 -58.5097624575,-34.6401839744,0 -58.5098009153,-34.6402593276,0 -58.5106552038,-34.6404188683,0 -58.5107968872,-34.6403781031,0 -58.5110196351,-34.6404723397,0 -58.5110152324,-34.6405633018,0 -58.5114960465,-34.6410097256,0 -58.5106621876,-34.6416337054,0 -58.5106597778,-34.6417553505,0 -58.5104787832,-34.6418947360,0 -58.5103007099,-34.6419152135,0 -58.5095987952,-34.6424364900,0 -58.5095949965,-34.6425770333,0 -58.5094067029,-34.6427229049,0 -58.5092082900,-34.6426972943,0 -58.5087968862,-34.6423435746,0 -58.5087998853,-34.6421760755,0 -58.5086407713,-34.6420329385,0 -58.5084592404,-34.6420194902,0 -58.5080270939,-34.6416662632,0 -58.5080300896,-34.6414990381,0 -58.5079006491,-34.6413680084,0 -58.5077210029,-34.6413511678,0 -58.5072749306,-34.6409700989,0 -58.5072778246,-34.6408086330,0 -58.5071350484,-34.6406803100,0 -58.5069438091,-34.6406573847,0 -58.5065113667,-34.6402530464,0 -58.5065137310,-34.6401211961,0 -58.5067050919,-34.6399758928,0 -58.5068707164,-34.6399975177,0 -58.5073331632,-34.6404061312,0 -58.5079522792,-34.6399057963,0"
