Zona Operativa,Coordenadas del Poligono
AGU146B,"-58.3997383645,-34.5829067285,0 -58.3997657555,-34.5826875196,0 -58.4006140391,-34.5824013528,0 -58.4006056712,-34.5823870582,0 -58.4007635275,-34.5823338215,0 -58.4008918012,-34.5825576910,0 -58.4009247791,-34.5826030665,0 -58.4012944001,-34.5831264569,0 -58.4009982377,-34.5832658063,0 -58.4013057189,-34.5837651356,0 -58.4010243050,-34.5840191934,0 -58.4008986588,-34.5841278833,0 -58.4005342333,-34.5835916963,0 -58.4004273230,-34.5835935260,0 -58.4002998263,-34.5834083102,0 -58.4001882523,-34.5835579442,0 -58.4001030564,-34.5835482160,0 -58.3997045121,-34.5829801403,0 -58.3997383645,-34.5829067285,0"
AGU146C,"-58.4009982381,-34.5832658067,0 -58.4012944004,-34.5831264567,0 -58.4015993856,-34.5835666075,0 -58.4015764669,-34.5836806907,0 -58.4014042937,-34.5837938037,0 -58.4013057193,-34.5837651355,0 -58.4009982381,-34.5832658067,0"
AGU146D,"-58.4020664787,-34.5821506035,0 -58.4021499781,-34.5821907718,0 -58.4024892948,-34.5831173036,0 -58.4024303186,-34.5831828702,0 -58.4022778150,-34.5832500333,0 -58.4021877673,-34.5832333659,0 -58.4015993859,-34.5835666074,0 -58.4012944001,-34.5831264569,0 -58.4009247791,-34.5826030665,0 -58.4008918012,-34.5825576910,0 -58.4007635275,-34.5823338215,0 -58.4019692213,-34.5819271955,0 -58.4020664787,-34.5821506035,0"
AGU147A,"-58.3999243464,-34.5837047397,0 -58.4001030564,-34.5835482160,0 -58.4001882523,-34.5835579442,0 -58.4002998263,-34.5834083102,0 -58.4004273230,-34.5835935260,0 -58.4005342333,-34.5835916963,0 -58.4007905118,-34.5839687660,0 -58.4004916763,-34.5841191644,0 -58.4006653649,-34.5843753198,0 -58.4002324377,-34.5847508736,0 -58.3996901176,-34.5843303863,0 -58.4001848540,-34.5839181346,0 -58.3999243464,-34.5837047397,0"
AGU147B,"-58.4007905118,-34.5839687660,0 -58.4008986588,-34.5841278833,0 -58.4010243050,-34.5840191934,0 -58.4014217054,-34.5843187258,0 -58.4007106762,-34.5849285754,0 -58.4005503183,-34.5849273243,0 -58.4004766192,-34.5849419437,0 -58.4002869175,-34.5849795743,0 -58.4000839664,-34.5849049476,0 -58.4002243455,-34.5848121860,0 -58.4002324377,-34.5847508736,0 -58.4006653649,-34.5843753198,0 -58.4004916763,-34.5841191644,0 -58.4007905118,-34.5839687660,0"
AGU147C,"-58.3998986592,-34.5838303025,0 -58.3999168684,-34.5838146132,0 -58.3998533771,-34.5837682442,0 -58.3999243464,-34.5837047397,0 -58.4001848540,-34.5839181346,0 -58.3996901176,-34.5843303863,0 -58.4002324377,-34.5847508736,0 -58.4002243455,-34.5848121860,0 -58.4000839664,-34.5849049476,0 -58.4002869175,-34.5849795743,0 -58.3994425902,-34.5857035923,0 -58.3994100814,-34.5855815791,0 -58.3994023355,-34.5854980255,0 -58.3986639849,-34.5849018252,0 -58.3994476029,-34.5842188111,0 -58.3994365998,-34.5841400187,0 -58.3998021920,-34.5838084323,0 -58.3998372659,-34.5837790326,0 -58.3998986592,-34.5838303025,0"
AGU147D,"-58.3997045121,-34.5829801403,0 -58.4001030564,-34.5835482160,0 -58.3999243464,-34.5837047397,0 -58.3998533771,-34.5837682442,0 -58.3999168684,-34.5838146132,0 -58.3998986592,-34.5838303025,0 -58.3998372659,-34.5837790326,0 -58.3998021920,-34.5838084323,0 -58.3994365998,-34.5841400187,0 -58.3994476029,-34.5842188111,0 -58.3993302275,-34.5842084835,0 -58.3980567477,-34.5831961415,0 -58.3997212048,-34.5828598413,0 -58.3997383645,-34.5829067285,0 -58.3997045121,-34.5829801403,0"
AGU156A,"-58.4060985250,-34.5819647111,0 -58.4066106285,-34.5818143979,0 -58.4066955088,-34.5818410704,0 -58.4069278570,-34.5817719986,0 -58.4069587349,-34.5817098412,0 -58.4071390691,-34.5816537422,0 -58.4076306698,-34.5815034680,0 -58.4077082503,-34.5815370261,0 -58.4079493815,-34.5814644617,0 -58.4079987208,-34.5816201323,0 -58.4078319496,-34.5816792460,0 -58.4077993747,-34.5817235669,0 -58.4070332330,-34.5819663099,0 -58.4069590059,-34.5819670898,0 -58.4068656050,-34.5819825447,0 -58.4067709250,-34.5820006869,0 -58.4067281778,-34.5820763116,0 -58.4062249527,-34.5822355872,0 -58.4060985250,-34.5819647111,0"
AGU156B,"-58.4058949984,-34.5824149721,0 -58.4058351158,-34.5822874860,0 -58.4057307111,-34.5820433770,0 -58.4055986816,-34.5817636645,0 -58.4056218787,-34.5817379078,0 -58.4055968905,-34.5816841683,0 -58.4055204976,-34.5816509425,0 -58.4054361614,-34.5814789315,0 -58.4055518736,-34.5814656097,0 -58.4056316738,-34.5814790527,0 -58.4058943869,-34.5820246292,0 -58.4060985250,-34.5819647111,0 -58.4062249527,-34.5822355872,0 -58.4067281778,-34.5820763116,0 -58.4071066649,-34.5828863619,0 -58.4064330375,-34.5830963133,0 -58.4064039599,-34.5831518182,0 -58.4062781590,-34.5831828641,0 -58.4058949984,-34.5824149721,0"
Zona no identificada,"-58.4067281783,-34.5820763112,0 -58.4067709251,-34.5820006872,0 -58.4068656047,-34.5819825451,0 -58.4069155189,-34.5820888755,0 -58.4070126162,-34.5820598580,0 -58.4070201791,-34.5820804184,0 -58.4069234151,-34.5821084723,0 -58.4073590222,-34.5830573339,0 -58.4064766225,-34.5833461532,0 -58.4064039599,-34.5831518182,0 -58.4064330379,-34.5830963135,0 -58.4071066654,-34.5828863620,0 -58.4067281783,-34.5820763112,0"
